NAV,High_Water_Mark,Drawdown,Equity_Pct,Crypto_Pct,Defensive_Pct,Cash_Pct,Regime,Regime_Score,Equity_Ceiling,PDS_Status,PDS_Ceiling,Effective_Ceiling,PTRH_Value,PTRH_Notional,PTRH_Net_Cost,SLOF_Active,SLOF_Leverage,SLOF_Notional,PERM_Income,FEM_Score,FEM_Status,SSL_Worst_Scenario,SSL_Worst_Loss_Pct,VIX,HY_Spread,PMI,TNX_Yield,Total_Slippage,SPY_Price,QQQ_Price,BTC_Price,ARES_Tranche,ARES_Gates_Cleared,PCR_Status,PCR_Value,Shutdown_Status,Shutdown_Days,Correlation_Status,Equity_Crypto_Corr,Incap_Tier,CDM_Alerts,TDC_Reviews,JPVI_Count,SCCR_Count,PFVT_Count,ELVT_Count,Margin_Stress,Dealer_Gamma,RPE_Up_Prob,AUP_SLOF_Mult
437734188.90794635,500000000.0,-0.1245316221841073,0.30855687714836233,0.1905128343871646,0.158383336779299,0.34222280939387517,RISK_ON,0.1909119598042464,1.0,DELEVERAGE_1,0.6,0.6,141888.1629724741,5984000,13473.936426797172,False,1.0,0.0,0.0,0.4992315335887129,NORMAL,S2,-0.22396383408707754,21.96,434.8294568166011,58.6,1.81,221693.3866785646,427.2872619628906,355.9708557128906,38743.2734375,0,3,CAUTIOUS,0.85,CLEAR,1457,CONTAGION,0.877,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.45,1.0
435377907.09189713,500000000.0,-0.12924418581620578,0.31323907019554476,0.1999489316882986,0.15973781644813123,0.3267929559712732,RISK_ON,0.19135819087220945,1.0,DELEVERAGE_1,0.6,0.6,122439.4552724418,5984000,13473.936426797172,False,1.0,0.0,0.0,0.49605857408973086,NORMAL,S2,-0.23072312937287656,22.09,433.71603240606345,58.6,1.78,232962.76861467928,431.43798828125,358.86328125,36952.984375,0,3,CAUTIOUS,0.85,CLEAR,1456,CONTAGION,0.841,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
430516539.4778998,500000000.0,-0.1389669210442004,0.30471881083984503,0.20330999266444513,0.16089777305188196,0.33048308293960715,RISK_ON,0.21051831173583704,1.0,DELEVERAGE_1,0.6,0.6,254151.35099080048,5984000,13473.936426797172,False,1.0,0.0,0.0,0.5083288906378993,NORMAL,S2,-0.2296347498952683,24.35,434.4055195597284,58.6,1.82,232962.76861467928,421.2970886230469,344.3135986328125,37154.6015625,0,3,CAUTIOUS,0.85,CLEAR,1455,CONTAGION,0.826,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
442459229.0931126,500000000.0,-0.11508154181377483,0.3552016137802615,0.2209632007016863,0.155843054923345,0.267532074252707,RISK_ON,0.1980393155567359,1.0,WARNING,1.0,0.7136950904392765,203556.1744208126,5984000,13473.936426797172,False,1.0,0.0,0.0,0.5224130663019958,NORMAL,S2,-0.25532807446329386,23.22,429.7500497374171,58.6,1.93,268768.6566200911,423.2780456542969,348.6571044921875,41500.875,1,4,CAUTIOUS,0.85,CLEAR,1454,CONTAGION,0.846,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.25
448095898.01251835,500000000.0,-0.10380820397496326,0.3811790608286327,0.23048271390574393,0.15385524296608527,0.23399081864740415,RISK_ON,0.19612976223968917,1.0,WARNING,1.0,0.7963553005486718,220536.5136721326,5984000,13473.936426797172,False,1.0,0.0,0.0,0.5817910850891268,NORMAL,S2,-0.26898491981713074,22.86,431.71031801852956,58.6,1.92,289020.8423260939,421.919677734375,345.85235595703125,43840.28515625,2,4,CAUTIOUS,0.85,CLEAR,1451,CONTAGION,0.853,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.25
452869513.97710496,500000000.0,-0.09426097204579009,0.5100352323975981,0.2295002013601785,0.15179883627582902,0.10828389022204685,RISK_ON,0.17585042968474224,1.0,WARNING,1.0,1.0,172923.5794398792,5984000,13473.936426797172,False,1.0,0.0,0.0,0.6165776001847929,NORMAL,S2,-0.31194009226973224,21.44,429.65547804599896,58.6,1.96,344776.93950100336,425.39105224609375,349.73809814453125,44118.4453125,3,4,CAUTIOUS,0.85,CLEAR,1450,CONTAGION,0.845,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.25
461799156.57829356,500000000.0,-0.07640168684341286,0.5180215383706683,0.22618652379451568,0.14937499913114882,0.106190043957117,RISK_ON,0.1622860576018973,1.0,NORMAL,1.0,1.0,104779.80258886478,5984000,13473.936426797172,False,1.0,0.0,0.0,0.744376957386268,WATCH,S2,-0.3126071922812472,19.96,428.19104838411454,58.6,1.94,344776.93950100336,431.6171875,357.1493225097656,44338.796875,3,4,CAUTIOUS,0.85,CLEAR,1449,CONTAGION,0.821,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
453520973.7472355,500000000.0,-0.09295805250552902,0.5142761693149298,0.2262962869950253,0.1508721266094007,0.10812834593122822,RISK_ON,0.19595217988539507,1.0,WARNING,1.0,1.0,193685.72354252357,5984000,13473.936426797172,False,1.0,0.0,0.0,0.7408888685706451,WATCH,S2,-0.31135965069158633,23.91,427.87268076137275,58.6,2.03,344776.93950100336,423.8629455566406,349.06610107421875,43565.11328125,3,4,CAUTIOUS,0.85,CLEAR,1448,CONTAGION,0.82,0,0,0,0,0,0,0,NORMAL,POSITIVE,0.0,1.0
439964493.86736864,500000000.0,-0.12007101226526273,0.3059640077279876,0.22707299012649812,0.1582497330625229,0.30797269120551807,RISK_ON,0.23054550825742753,1.0,DELEVERAGE_1,0.6,0.6,325827.9710318621,5984000,13473.936426797172,False,1.0,0.0,0.0,0.730170025051371,WATCH,S2,-0.241735729370226,27.36,436.24251376237925,58.6,1.92,474659.62824631925,415.5048828125,337.9931640625,42407.9375,0,2,CAUTIOUS,0.85,CLEAR,1447,CONTAGION,0.814,0,0,0,0,0,0,0,ELEVATED,NEUTRAL,0.0,1.0
441195238.7207382,500000000.0,-0.11760952255852364,0.3075750410445515,0.22739523042542506,0.1571886622179543,0.30711357992911675,RISK_ON,0.23553195080596837,1.0,WARNING,1.0,0.6,320963.52839279274,5984000,13473.936426797172,False,1.0,0.0,0.0,0.535359738389636,NORMAL,S2,-0.24211945711802307,28.33,430.6961084861378,58.6,1.98,474659.62824631925,414.1464538574219,338.4118957519531,42586.91796875,0,3,CAUTIOUS,0.85,CLEAR,1444,CONTAGION,0.814,0,0,0,0,0,0,0,ELEVATED,NEUTRAL,0.0,1.25
